urlProducto;sizes;colors;base;areas;weight;MinQuantity;PriceBreaks

Womens-T-shirt;XS#0|S#0|M#0|L#0|XL#0|XXL#10|XXXL#10;Ocher#ab781f#0|White#ffffff#0|Black#000000#0|Military Green#9e9e32#0|Green pine#618a2d#0|Dark Green#17713e#0|Wine#964646#0|Boiler#b74b1a#0;M|White|Front|20;Front#0|Back#0|Front & Back#10;10;5;0-11#25.00|12-23#24|24-47#23|48-71#22|72-143#21|144-287#20
Cap;S#0|M#0|L#0;Green pine#618a2d#0|White#ffffff#0|Black#000000#0|Military Green#9e9e32#0|Dark Green#17713e#0|Wine#964646#0|Boiler#b74b1a#0|Ocher#ab781f#0;M|White|Front|20;Front#0|Back#0|Front & Back#10;10;5;
mens-T-shirt;XS#0|S#0|M#0|L#0|XL#0|XXL#10|XXXL#10;Cyan#00b0bc#0|Black#000000#10|White#ffffff#0|Red#e22323#0|Green#2bb830#0|Yellow#e4bd0b#0;M|White|Front|20;Front#0|Back#0|Front & Back#10;10;5;0-11#25.00|12-23#24|24-47#23|48-71#22|72-143#21|144-287#20
polo-shirt;XS#0|S#0|M#0|L#0|XL#0|XXL#10|XXXL#10;Purple#9639d3#0|Black#000000#0|White#ffffff#0|Red#d92222#0|Green#00b800#0|Orange#ffb100#0|Blue#0063bb#0;M|White|Front|20;Front#0|Back#0|Front & Back#10;10;5;0-11#25.00|12-23#24|24-47#23|48-71#22|72-143#21|144-287#20
Sweatshirt;XS#0|S#0|M#0|L#0|XL#0|XXL#10|XXXL#10;Black#000000#0|Cyan#00c4b4#0|Pink#e743db#0|Red#ee3333#0|Orange#ef7d00#0|Blue#008eda#0|Green#00d730#0|Purple#8c3fd0#0|Gray#bebfc1#0;M|Black|Front|20;Front#0|Back#0|Front & Back#10;10;5;0-11#25.00|12-23#24|24-47#23|48-71#22|72-143#21|144-287#20
sweatpants;XS#0|S#0|M#0|L#0|XL#0|XXL#10|XXXL#10;Black & yellow#f9d62e#0|Blue & white#000066#0|Red & black#ff0000#0|Black & white#000000#0|Black & blue#000000#0;M|Black & yellow||20;;10;5;

5238;XS#0|S#0|M#0|L#0|XL#0|XXL#10|XXXL#10;Black#000000#0;M|Black|Front|25;Front#0;10;1;0-11#25|12-23#24|24-47#23|48-71#22|72-143#21|144-287#20

