urlProducto;sizes;colors;base;areas;weight;MinQuantity;PriceBreaks
BK-AL-DRK;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0.1040;0;0-9999999#37.99;
BK-AL-GRN;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0.1060;0;0-9999999#37.99;
BK-AL-HF;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0.1020;0;0-9999999#37.99;
BK-AL-ACN;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0.1020;0;0-9999999#37.99;
BK-TI-ACN;Qty#0;Polished#797982#0;Qty|Polished|0;;0.1470;0;0-9999999#42.99;
BK-TI-DRK;Qty#0;Polished#797982#0;Qty|Polished|0;;0.1440;0;0-9999999#42.99;
BK-TI-GRN;Qty#0;Polished#797982#0;Qty|Polished|0;;0.1480;0;0-9999999#42.99;
BK-TI-HF;Qty#0;Polished#797982#0;Qty|Polished|0;;0.1410;0;0-9999999#42.99;
FH-22-1228-TI;Qty#0;Black#000000#6|Polished#797982#0;Qty|Black|0;;0.1280;0;0-9999999#66.99;
ME-GLK10-5-AL;Qty#0;Black#000000#0;Qty|Black|0;;0;0;0-9999999#39.99;
ME-GLK10-3-AL;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;.02140;0;0-9999999#39.99;
ME-GLK40-2-AL;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0;0;0-9999999#37.99;
ME-GLK45-5-AL;Qty#0;Midnight Bronze#4A4645#0;Qty|Midnight Bronze|0;;0;0;0-9999999#39.99;
ME-GLK40-4-AL;Qty#0;Black#000000#0;Qty|Black|0;;0;0;0-9999999#37.99;
ME-GLK45-3-AL;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0;0;0-9999999#39.99;
ME-GLK9-5-AL;Qty#0;Black#000000#0;Qty|Black|0;;0;0;0-9999999#37.99;
ME-GLK9-3-AL;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0.1890;0;0-9999999#37.99;
MBR-22-1228-TI;Qty#0;Black#000000#6|Polished#797982#0;Qty|Black|0;;0.100;0;0-9999999#66.99;
MBR-30-5824-3P-TI;Qty#0;Black#000000#0;Qty|Black|0;;0.1580;0;0-9999999#79.99;
MBR-30-5824-TI;Qty#0;Black#000000#6|Polished#797982#0;Qty|Black|0;;0.0830;0;0-9999999#66.99;
MBR-30-1228-TI;Qty#0;Black#000000#6|Polished#797982#0;Qty|Black|0;;0.0950;0;0-9999999#66.99;
MBR-65-5824-TI;Qty#0;Black#000000#6|Polished#797982#0;Qty|Black|0;;0.100;0;0-9999999#66.99;
MBR-CVA;Qty#0;FDE#877348#0|Grey#808080#0|Patriot Brown#5C4033#0;Qty|FDE|0;;0.1150;0;0-9999999#169.99;
BSH-RUGAM-AL;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0.0720;0;0-9999999#66.99;
BSH-RUGAM-TI;Qty#0;Polished#797982#0;Qty|Polished|0;;0.10;0;0-9999999#75.99;
BH-RUGPA-SS;Qty#0;Polished#797982#0;Qty|Polished|0;;0.110;0;0-9999999#69.99;
BSH-RUGPR-AL;Qty#0;Black#000000#0;Qty|Black|0;;0.1670;0;0-9999999#66.99;
BSH-RUGPR-AL-WT;Qty#0;Black#000000#0;Qty|Black|0;;0.1860;0;0-9999999#94.99;
BSH-RUGPR-TI;Qty#0;Polished#797982#0;Qty|Polished|0;;0;0;0-9999999#82.99;
BSH-RUGPR-TI-WT;Qty#0;Polished#797982#0;Qty|Polished|0;;0.2480;0;0-9999999#82.99;
TS-RUGPR-POLY;Qty#0;Black#000000#0;Qty|Black|0;;0.0490;0;0-9999999#37.99;
SB-REM700-LA20;Qty#0;Black#000000#0|Patriot Brown#5C4033#0|Tungsten#767980#0;Qty|Black|0;;0.1450;0;0-9999999#84.99;
