urlProducto;sizes;colors;base;areas;weight;MinQuantity;PriceBreaks
22829-00008-WomensZipUpJacket;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Navy#202A44#0;M|Navy|0;;1;0;0-999999#0
22829-00016-HeatheredTShirt;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Heather#9c9da4#0;M|Heather|0;;1;0;0-999999#0
22829-00024-MensZipUpJacket;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Navy#202A44#0;M|Navy|0;;1;0;0-999999#0
22829-00033-MensAdidasPolo;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Navy#202A44#0;M|Navy|0;;0;0;0-999999#0
22829-00068-FleeceSweater;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Blue#4169e1#0;M|Blue|0;;1;0;0-999999#0
22829-00083-LongSleeveCrew;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Blue#4169e1#0;M|Blue|0;;0;0;0-999999#0
22829-00087-StandardLongSleeve;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Heather#9c9da4#0;M|Heather|0;;0;0;0-999999#0
22829-00096-NextLevelStandardTee;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Heather#364062#0;M|Heather|0;;0;0;0-999999#0
22829-00144-Pinnies;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;White#ffffff#0;M|White|0;;0;0;0-999999#0
22829-00189-NikeLongSleeveTeeCharcoal;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Charcoal#3C4142#0;M|Charcoal|0;;1;0;0-999999#0
22829-00192-NikeLongSleeveTeeLightGrey;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;LightGrey#d3d3d3#0;M|LightGrey|0;;0;0;0-999999#0
