urlProducto;sizes;colors;base;areas;1.5;MinQuantity;PriceBreaks
28519-00009-ST254PulloverHoodie;XS#0|S#0|M#0|L#0|XL#0|2XL#5.40|3XL#5.40|4XL#5.40;Althletic Heather#E0E0E0#0|Black#1E1F1E#0|Forest Green#2C3D33#0|Graphite Heather#5B595A#0|Maroon#800000#0|True Navy#000080#0|True Royal#3B549F#0|Vintage Heather#DCD9CA#0;M|Black|0;Screen Print - 1 Color in 1 Location#2.70|Screen Print - 2 Colors in 1 Location#5.40|Screen Print - 3 Colors in 1 Locations#8.10|Screen Print - 1 Color in 2 Locations#5.40|Screen Print - 2 Colors in 2 Locations#10.80|Embroidery - 1 Location (Estimated)#5.31;2.1;0;0-999999#30.58

28519-00012-S6000ChampionCrewneckSweatshirt;XS#0|S#0|M#0|L#0|XL#0|2XL#3.60|3XL#3.60|4XL#3.60;Black#1E1F1E#0|Heather Charcoal#5B595A#0|Light Steel#6C6C6B#0|Maroon#800000#0|Royal Blue#2C70CB#0|Scarlet#D2242D#0|Silver Mist#E0E0E0#0|White#ffffff#0|Navy#000080#0;M|Black|0;Screen Print - 1 Color in 1 Location#2.70|Screen Print - 2 Colors in 1 Location#5.40|Screen Print - 3 Colors in 1 Locations#8.10|Screen Print - 1 Color in 2 Locations#5.40|Screen Print - 2 Colors in 2 Locations#10.80|Embroidery - 1 Location (Estimated)#5.31;1.5;0;0-999999#22.95

28519-00015-J317CoreSoftShellJacket;XS#0|S#0|M#0|L#0|XL#0|2XL#5.40|3XL#5.40|4XL#5.40;Battleship Grey#3B3F48#0|Black#1E1F1E#0|Black Charcoal#494947#0|Deep Smoke#777374#0|Dress Blue#2E394B#0|Navy Heather#515D73#0|Pearl Grey Heather#6C6C6B#0|Rich Red#B3142F#0|True Royal#3B549F#0|Navy#000080#0|Forest Green#2C3D33#0|Maroon#800000#0;M|Black|0;Screen Print - 1 Color in 1 Location#2.70|Screen Print - 2 Colors in 1 Location#5.40|Screen Print - 3 Colors in 1 Locations#8.10|Screen Print - 1 Color in 2 Locations#5.40|Screen Print - 2 Colors in 2 Locations#10.80|Embroidery - 1 Location (Estimated)#5.31;2;0;0-999999#44.98

28519-00011-DT8104ReFleeceCrew;XS#0|S#0|M#0|L#0|XL#0|2XL#5.40|3XL#5.40|4XL#5.40;Black#1E1F1E#0|Heather Charcoal#5B595A#0|Light Heathered Grey#D0D0CE#0|True Navy#212B4B#0;M|Black|0;Screen Print - 1 Color in 1 Location#2.70|Screen Print - 2 Colors in 1 Location#5.40|Screen Print - 3 Colors in 1 Locations#8.10|Screen Print - 1 Color in 2 Locations#5.40|Screen Print - 2 Colors in 2 Locations#10.80|Embroidery - 1 Location (Estimated)#5.31;1.5;0;0-999999#19.78

28519-00003-DT7500DistrictFlexTee;XS#0|S#0|M#0|L#0|XL#0|2XL#5.40|3XL#5.40|4XL#5.40;Deep Heather Royal#395281#0|Silver Mist#C6C5C4#0|Lilac Pink#F4D4DD#0|Heathered Red#B23D48#0|Heathered Neptune Blue#304A5A#0|Heathered Charcoal#4D4644#0|Black#1E1F1E#0|White#ffffff#0;M|Black|0;Screen Print - 1 Color in 1 Location#2.70|Screen Print - 2 Colors in 1 Location#5.40|Screen Print - 3 Colors in 1 Locations#8.10|Screen Print - 1 Color in 2 Locations#5.40|Screen Print - 2 Colors in 2 Locations#10.80|Embroidery - 1 Location (Estimated)#5.31;1;0;0-999999#8.98

